Random Job,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,90,4,17,17,177,71,0,161
102,8,1,45,45,63,11,0,19
103,81,4,86,87,233,67,1,148
104,17,3,139,142,206,51,3,68
105,17,3,204,209,250,30,5,47
106,11,9,212,213,236,14,1,25
107,34,8,212,214,274,29,2,63
108,76,8,278,278,440,87,0,163
109,60,7,316,316,531,156,0,216
110,92,3,342,342,1318,885,0,977
111,48,6,366,370,610,197,4,245
112,40,8,387,404,647,221,17,261
113,57,9,442,442,825,327,0,384
114,25,8,475,483,798,299,8,324
115,95,5,519,525,1799,1186,6,1281
116,74,3,540,547,1744,1131,7,1205
117,78,2,552,567,1374,745,15,823
118,19,8,599,599,768,151,0,170
119,30,2,639,641,873,205,2,235
120,44,2,677,690,1376,656,13,700
121,18,9,714,728,955,224,14,242
122,58,4,771,836,2001,1173,65,1231
123,84,6,792,796,2099,1224,4,1308
124,64,4,792,802,1864,1009,10,1073
125,60,8,820,820,1776,897,0,957
126,79,9,849,851,2201,1274,2,1353
127,35,5,899,902,1320,387,3,422
128,23,0,961,983,1369,386,22,409
129,63,1,964,995,2192,1166,31,1229
130,44,8,1004,1017,1805,758,13,802
131,78,1,1020,1095,2282,1185,75,1263
132,62,2,1080,1094,2184,1043,14,1105
133,36,3,1082,1088,2042,925,6,961
134,41,7,1135,1150,1993,818,15,859
135,59,0,1203,1225,2152,891,22,950
136,9,3,1222,1224,1381,151,2,160
137,63,7,1254,1270,2239,923,16,986
138,89,2,1280,1293,2328,960,13,1049
139,8,3,1335,1338,1439,97,3,105
140,6,5,1369,1383,1433,59,14,65
141,13,2,1390,1406,1625,223,16,236
142,42,2,1417,1427,2156,698,10,740
143,39,6,1450,1482,2106,618,32,657
144,81,3,1462,1490,2358,816,28,897
145,12,9,1498,1553,1870,361,55,373
146,32,6,1543,1551,2100,526,8,558
147,23,9,1577,1578,2033,434,1,457
148,90,4,1643,1740,2366,634,97,724
149,20,1,1658,1686,2077,400,28,420
150,20,5,1659,1661,2054,376,2,396
,,,,,,,,
,,,,,Min,11,0,19
,,,,,Mean,543.10,14.10,590.04
,,,,,Max,1274,97,1353
,,,,,StdDev,409.27,20.08,427.06
