First-come first-served,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
151,7,5,70,70,76,0,0,7
152,24,4,140,140,163,0,0,24
153,37,8,235,235,271,0,0,37
154,13,3,260,272,284,12,12,25
155,3,0,305,305,307,0,0,3
156,56,6,360,360,415,0,0,56
157,25,1,455,455,479,0,0,25
158,20,1,465,480,499,15,15,35
159,15,2,510,510,524,0,0,15
160,17,5,570,570,586,0,0,17
161,29,7,585,587,615,2,2,31
162,6,0,655,655,660,0,0,6
163,14,1,675,675,688,0,0,14
164,26,0,710,710,735,0,0,26
165,48,9,735,736,783,1,1,49
166,8,2,750,784,791,34,34,42
167,28,2,770,792,819,22,22,50
168,59,0,785,820,878,35,35,94
169,33,9,835,879,911,44,44,77
170,96,0,920,920,1015,0,0,96
171,28,0,995,1016,1043,21,21,49
172,65,4,1045,1045,1109,0,0,65
173,37,2,1045,1110,1146,65,65,102
174,99,8,1050,1147,1245,97,97,196
175,22,7,1090,1246,1267,156,156,178
176,13,3,1160,1268,1280,108,108,121
177,23,8,1215,1281,1303,66,66,89
178,56,4,1270,1304,1359,34,34,90
179,30,6,1295,1360,1389,65,65,95
180,7,1,1305,1390,1396,85,85,92
181,99,7,1315,1397,1495,82,82,181
182,29,6,1360,1496,1524,136,136,165
183,32,2,1395,1525,1556,130,130,162
184,4,2,1415,1557,1560,142,142,146
185,21,2,1505,1561,1581,56,56,77
186,19,3,1515,1582,1600,67,67,86
187,44,2,1585,1601,1644,16,16,60
188,36,1,1650,1650,1685,0,0,36
189,9,1,1665,1686,1694,21,21,30
190,39,8,1695,1695,1733,0,0,39
191,21,0,1700,1734,1754,34,34,55
192,41,6,1715,1755,1795,40,40,81
193,15,7,1730,1796,1810,66,66,81
194,36,1,1755,1811,1846,56,56,92
195,38,0,1850,1850,1887,0,0,38
196,12,0,1915,1915,1926,0,0,12
197,4,9,1925,1927,1930,2,2,6
198,37,5,1930,1931,1967,1,1,38
199,34,7,1985,1985,2018,0,0,34
200,17,3,1995,2019,2035,24,24,41
,,,,,,,,
,,,,,Min,0,0,3
,,,,,Mean,34.70,34.70,65.32
,,,,,Max,156,156,196
,,,,,StdDev,43.67,43.67,49.75
